Type,Category,Credibility,Title,Subtitle,Creator/URL,Content,Retrieval Source
Article,Politics,Real,How Trump kept Gorsuch nomination a secret until the clock struck 8,,https://www.washingtonpost.com/,https://www.washingtonpost.com/politics/how-trump-kept-gorsuch-nomination-a-secret-until-the-clock-struck-8/2017/01/31/c745c23c-e828-11e6-bf6f-301b6b443624_story.html?utm_term=.6df0b9be8d10,https://news.google.com/
Article,Tech,Real,Cheaper Rivals Eat Away at Apple Sales in China,,http://www.wsj.com/,https://www.wsj.com/articles/cheaper-rivals-eat-away-at-apple-sales-in-china-1485924305,https://news.google.com/
Article,Crime,Real,Police kill man whose stabbing rampage injured 3 on Sunset Boulevard in Hollywood,,http://www.latimes.com,http://www.latimes.com/local/lanow/la-me-ln-stabbing-shooting-hollywood-20170131-story.html,https://news.google.com/
Article,Tech,Real,Google will air a commercial for its Home smart speaker during Sunday’s Super Bowl,,https://9to5google.com,https://9to5google.com/2017/01/31/google-home-super-bowl-sunday-cmmercial/,https://news.google.com/
Article,Music,Real,Daft Punk's Albums Ranked From Worst to Best: Critic's Picks,,http://www.billboard.com,http://www.billboard.com/articles/news/dance/7676249/daft-punk-albums-ranked-best-worst-list,https://news.google.com/
Article,Tech,Real,Elon Musk Climbs On The Trump Train — But Why?,,http://www.huffingtonpost.com/,http://www.huffingtonpost.com/entry/elon-musk-climbs-on-the-trump-train-but-why_us_5890fe85e4b02c397c178d83,https://news.google.com/
Article,Politics,Real,Ex-UN Chief Ban Says He Won’t Run for Korea Presidency,,https://www.bloomberg.com,https://www.bloomberg.com/politics/articles/2017-02-01/ex-un-chief-ban-says-he-won-t-run-for-south-korean-presidency,https://news.google.com/
Article,Politics,Real,Democrats force delays in votes on 3 Cabinet nominees,,http://www.tucsonnewsnow.com,http://www.tucsonnewsnow.com/story/34385461/democrats-force-delays-in-votes-on-3-cabinet-nominees,https://news.google.com/
Article,Science,Real,Milky Way galaxy is being pushed across the universe,,http://www.cnn.com,http://www.cnn.com/2017/01/31/world/milky-way-dipole-repeller-space-trnd/,https://news.google.com/
Article,Politics,Real,Brexit Bulletin: The Price of Article 50,,https://www.bloomberg.com,https://www.bloomberg.com/news/articles/2017-02-01/brexit-bulletin-the-price-of-article-50,https://news.google.com/
Article,World,Real,"Schools are reopening in Mosul, after two years of jihadist rule",,http://www.economist.com,http://www.economist.com/news/middle-east-and-africa/21715931-hard-work-restoration-begins-schools-are-reopening-mosul-after-two,http://www.economist.com
Article,Race,Real,Native Americans Struggle To Find Housing While Facing Discrimination,,http://www.npr.org,http://www.npr.org/2017/02/01/512887794/native-americans-struggle-to-find-housing-while-facing-discrimination,http://www.npr.org
Article,Politics,Real,Matteo Renzi pushes for early elections,,http://www.economist.com/,http://www.economist.com/news/europe/21715723-humiliated-voters-and-courts-former-prime-minister-still-hopes-retain-political,http://www.economist.com/
Article,Tech,Real,"Even Without A Headphone Jack, iPhone 7 Boosts Apple's Sales",,http://www.npr.org,http://www.npr.org/2017/02/01/512788585/even-without-a-headphone-jack-iphone-7-boosts-apple-s-sales,http://www.npr.org
Article,Race,Real,The Quebec City attack exposes Canada’s dangerous right-wing fringe,Islamophobia is a bigger problem than Canadians thought it was,http://www.economist.com/,http://www.economist.com/news/americas/21715980-islamophobia-bigger-problem-canadians-thought-it-was-quebec-city-attack-exposes,http://www.economist.com/
Article,Politics,Real,Senate Republicans Defy Democrats' Boycott To Advance Trump Nominees,,http://www.npr.org,http://www.npr.org/2017/02/01/512840513/senate-republicans-break-democrats-boycott-to-advance-trump-nominees,http://www.npr.org
Article,Politics,Real,"President Trump's Tweets, Annotated",,http://www.npr.org,http://www.npr.org/2017/01/27/511216062/president-trumps-tweets-annotated,http://www.npr.org
Article,Entertainment,Real,Beyonce Expecting Twins With Jay Z,,http://abcnews.go.com/,http://abcnews.go.com/Entertainment/beyonce-expecting-twins-jay/story?id=45197870,http://abcnews.go.com/
Article,Tech,Real,Qualcomm is again under attack for living large off its patent portfolio,,http://www.economist.com/,http://www.economist.com/news/business/21715705-its-biggest-customer-apple-suing-it-1bn-qualcomm-again-under-attack-living,http://www.economist.com/
Article,Tech,Real,Battle of the clouds: tech titans’ results,,http://www.economist.com/,https://espresso.economist.com/5f1d3986fae10ed2994d14ecd89892d7,http://www.economist.com/
Article,Finance,Real,"Credit-Card Fraud Keeps Rising, Despite New Security Chips—Study",Increase in identity fraud driven by rise in fraudulent online purchases,https://www.wsj.com,https://www.wsj.com/articles/credit-card-fraud-keeps-rising-despite-new-security-chipsstudy-1485954000,https://www.wsj.com
Article,Tech,Real,What a Brain Surgeon's Virtual Reality Tool and Pokemon Go Have in Common,,http://abcnews.go.com/,http://abcnews.go.com/Health/brain-surgeons-virtual-reality-tool-pokemon-common/story?id=40781190,http://abcnews.go.com/
Article,Sexuality,Real,1st Inmate to Get Sex Reassignment Moves to Female Prison,,http://abcnews.go.com/,http://abcnews.go.com/US/wireStory/1st-inmate-sex-reassignment-moves-female-prison-45207950,http://abcnews.go.com/
Article,Animals,Real,Silly Baby Panda Falls Flat on Its Face During Public Debut of 23 Giant Panda Cubs in China,,http://abcnews.go.com/,http://abcnews.go.com/Lifestyle/silly-baby-panda-falls-flat-face-public-debut/story?id=42481478,http://abcnews.go.com/
Article,Music,Real,"Meet the Coach for Lady Gaga, Super Bowl Halftime Star",Vocal coach Don Lawrence specializes in a classical opera technique that’s been modernized for pop singers.,https://www.wsj.com,https://www.wsj.com/articles/meet-the-coach-for-lady-gaga-super-bowl-halftime-star-1485959205,https://www.wsj.com
Article,Science,Real,Finding the Speed of Evolution in a Study of Bird Beaks,,https://www.nytimes.com,https://www.nytimes.com/section/science?action=click&pgtype=Homepage&region=TopBar&module=HPMiniNav&contentCollection=Science&WT.nav=page,https://www.nytimes.com
Article,World,Real,"Immigration Courts to Focus on Detainees, Not Kids' Cases",,http://abcnews.go.com/,http://abcnews.go.com/International/wireStory/immigration-courts-focus-detainees-kids-cases-45206376,http://abcnews.go.com/
Article,Science,Real,"Venus Smiled, With a Mysterious Wave Across Its Atmosphere",,https://www.nytimes.com,https://www.nytimes.com/2017/01/16/science/venus-wave-akatsuki.html?rref=collection%2Fsectioncollection%2Fspace&action=click&contentCollection=space&region=rank&module=package&version=highlights&contentPlacement=1&pgtype=sectionfront,https://www.nytimes.com
Article,Crime,Real,Young boy found wandering alone in inner-Brisbane carpark; family contacted,,http://www.abc.net.au,http://www.abc.net.au/news/2015-01-31/young-boy-found-wandering-alone-in-gabba-carpark-in-brisbane/6060144,http://www.abc.net.au/news/archive
Article,Education,Real,Michael Bloomberg on How to Succeed in Business,,https://www.nytimes.com,https://www.nytimes.com/2017/02/01/education/edlife/mike-bloomberg-salomon-brothers.html?rref=collection%2Fsectioncollection%2Feducation&action=click&contentCollection=education&region=rank&module=package&version=highlights&contentPlacement=2&pgtype=sectionfront,https://www.nytimes.com
Article,Crime,Real,German teenager sentenced to six years for stabbing police officer,,https://en.wikinews.org,https://en.wikinews.org/wiki/German_teenager_sentenced_to_six_years_for_stabbing_police_officer,https://en.wikinews.org
Article,Sports,Real,New Georgia Tech Basketball Coach Produces Immediate Results,"ATLANTA — Halfway through his first Atlantic Coast Conference season, Coach Josh Pastner has exceeded expectations at Georgia Tech.",https://www.nytimes.com,https://www.nytimes.com/2017/01/31/sports/ncaabasketball/georgia-tech-josh-pastner.html?rref=collection%2Fsectioncollection%2Fsports,https://www.nytimes.com
Article,Politics,Real,Malaysian democrats pin their hopes on the country’s royals,But they make unlikely saviours,http://www.economist.com/,http://www.economist.com/news/asia/21715699-they-make-unlikely-saviours-malaysian-democrats-pin-their-hopes-countrys-royals,http://www.economist.com/
Article,World,Real,Romania protests grow over corruption decree,"The Romanian capital, Bucharest, has seen one of its largest ever anti-government protests after a decree was passed that could free dozens of officials jailed for corruption.",http://www.bbc.com,http://www.bbc.com/news/world-europe-38836322,http://www.bbc.com
Article,Politics,Real,Donald Trump Urges Senate GOP to Scrap 60-Vote Rule for Court Pick,President suggests going ‘nuclear’ to ensure Judge Neil Gorsuch’s confirmation,https://www.wsj.com/,https://www.wsj.com/articles/donald-trump-urges-senate-to-scrap-60-vote-rule-for-court-pick-1485971396,https://www.wsj.com
Article,Politics,Real,Hillary Clinton writing book reflecting on her election loss,,http://www.bbc.com,http://www.bbc.com/news/world-us-canada-38835770,http://www.bbc.com
Article,Politics,Real,Two GOP Senators Say They Will Oppose Education Nominee Betsy DeVos,Republicans can’t afford to lose any more votes and be able to assure confirmation with GOP support alone,https://www.wsj.com/,https://www.wsj.com/articles/two-gop-senators-say-they-will-oppose-education-nominee-betsy-devos-1485981755,https://www.wsj.com/
Article,Politics,Real,"Officials Cancel Breitbart News Editor Talk at UC Berkeley After Protesters Throw Smoke Bombs, Flares at Building",,http://abcnews.go.com,http://abcnews.go.com/US/wireStory/officials-cancel-breitbart-news-editor-talk-uc-berkeley-45208975,http://abcnews.go.com
Article,Politics,Real,White House: 'We are officially putting Iran on notice',,http://www.bbc.com,http://www.bbc.com/news/world-us-canada-38832407,http://www.bbc.com
Article,Politics,Real,Brexit: MPs overwhelmingly back Article 50 bill,,http://www.bbc.com,http://www.bbc.com/news/uk-politics-38833883,http://www.bbc.com
Article,Tech,Real,How Facebook is starting to tackle fake news in your news feed,,http://www.bbc.com,http://www.bbc.co.uk/newsbeat/article/38827101/how-facebook-is-starting-to-tackle-fake-news-in-your-news-feed,http://www.bbc.com
Article,Finance,Real,"Facebook Revenue Jumps Again, Buoyed by Mobile Advertising",Top-line growth was more than expected; Profit leaps to $3.57 billion,https://www.wsj.com/,https://www.wsj.com/articles/facebook-revenue-jumps-again-1485983393,https://www.wsj.com/
Article,Education,Real,University applications fall with drop in nursing and EU students,University applications have fallen by 5% - with the decline driven by a drop in European Union students and a sharp fall in nursing applications.,http://www.bbc.com,http://www.bbc.com/news/education-38827189,http://www.bbc.com
Article,Politics,Real,Dutch to hand count votes over hacking fears,"All votes in next month's Dutch election will be counted by hand to counter the threat of hacking, the government says.",http://www.bbc.com,http://www.bbc.com/news/world-europe-38833634,http://www.bbc.com
Article,Politics,Real,France's Fillon under pressure to end presidential bid,"French centre-right presidential candidate Francois Fillon has denounced a left-wing ""institutional coup d'etat"" as he faces mounting pressure to quit the presidential race.",http://www.bbc.com,http://www.bbc.com/news/world-europe-38831525?intlink_from_url=http://www.bbc.com/news/topics/f671cc6e-8cdd-4351-90d1-fcc3bae18534/france-presidential-election-2017&link_location=live-reporting-story,http://www.bbc.com
Article,Politics,Real,The Uneasy Politician: Janet Yellen Is Struggling to Fend Off the Fed’s Many Critics,"Under fire from Republicans and President Trump, the chairwoman has struggled to win over skeptical members of Congress and fend off calls for greater oversight",https://www.wsj.com/,https://www.wsj.com/articles/janet-yellens-uneasy-new-role-defending-the-fed-from-historic-political-pressure-1485966696,https://www.wsj.com/
Article,Science,Real,Indian children died after 'eating lychees on empty stomach',US and Indian scientists say a mystery illness that killed more than 100 children a year in northern India was caused by eating lychees on an empty stomach.,http://www.bbc.com,http://www.bbc.com/news/world-asia-india-38831240,http://www.bbc.com
Article,Politics,Real,Donald Trump 'taking steps to abolish Environmental Protection Agency',"Myron Ebell, a key presidential aide, said climate education material could be ‘withdrawn’ and review of car fuel efficiency standards could be reopened",https://www.theguardian.com,https://www.theguardian.com/us-news/2017/feb/02/donald-trump-plans-to-abolish-environmental-protection-agency,https://www.theguardian.com
Article,Crime,Real,2 Held Hostage in Ongoing Situation at Delaware Prison,"Two prison employees have been released, along with dozens of inmates, during an ongoing hostage situation in Delaware, according to authorities",http://abcnews.go.com/,http://abcnews.go.com/US/hostage-situation-ongoing-delaware-prison/story?id=45198894,http://abcnews.go.com/
Article,Politics,Real,Senate Confirms Rex Tillerson as Sec'y of State,,http://abcnews.go.com/,http://abcnews.go.com/Politics/wireStory/latest-gop-rule-back-price-mnuchin-45191596?cid=clicksource_4380645_1_hero_headlines_headlines_hed,http://abcnews.go.com/
Article,Politics,Real,CNN editor sues after being detained at Atlanta airport under Trump travel ban,Experienced journalist Mohammed Tawfeeq is a permanent resident. Iraqi editor arrived after DHS secretary said green card holders were exempt,https://www.theguardian.com,https://www.theguardian.com/us-news/2017/feb/01/cnn-mohammed-tawfeeq-trump-travel-ban-lawsuit,https://www.theguardian.com
Article,Politics,Real,"US Military Determines Civilians 'Likely Killed' in Yemen Raid, Possibly Children","The U.S. military has concluded that this weekend's deadly raid in Yemen ""likely killed"" civilians, possibly including children.",http://abcnews.go.com,http://abcnews.go.com/International/us-military-determines-civilians-killed-yemen-raid-possibly/story?id=45207811&cid=clicksource_4380645_1_hero_headlines_headlines_hed,http://abcnews.go.com
Article,Politics,Real,The Uneasy Politician: Janet Yellen Is Struggling to Fend Off the Fed’s Many Critics,"Under fire from Republicans and President Trump, the chairwoman has struggled to win over skeptical members of Congress and fend off calls for greater oversight",http://www.wsj.com/,https://www.wsj.com/articles/janet-yellens-uneasy-new-role-defending-the-fed-from-historic-political-pressure-1485966696,http://www.wsj.com/
Article,Tech,Real,Facebook's Oculus must pay $500m in virtual reality lawsuit,Jury determined that VR company’s CEO Palmer Luckey failed to comply with a non-disclosure agreement with games company ZeniMax,https://www.theguardian.com,https://www.theguardian.com/technology/2017/feb/01/facebook-oculus-vr-lawsuit-zenimax,https://www.theguardian.com
Article,Politics,Real,"US Military Determines Civilians 'Likely Killed' in Yemen Raid, Possibly Children","The U.S. military has concluded that this weekend's deadly raid in Yemen ""likely killed"" civilians, possibly including children.",http://abcnews.go.com/,http://abcnews.go.com/International/us-military-determines-civilians-killed-yemen-raid-possibly/story?id=45207811&cid=clicksource_4380645_1_hero_headlines_headlines_hed,http://abcnews.go.com/